,trial,block,s1,s2,connected,response,accuracy,rt,counter,id,condition
2389,10,1,./static/experiments/de2/materials/stim_files/16.png,./static/experiments/de2/materials/stim_files/8.png,,,,2244,,244,2
2390,11,1,./static/experiments/de2/materials/stim_files/7.png,./static/experiments/de2/materials/stim_files/15.png,,,,2150,,244,2
2391,12,1,./static/experiments/de2/materials/stim_files/6.png,./static/experiments/de2/materials/stim_files/14.png,,,,2015,,244,2
2392,13,1,./static/experiments/de2/materials/stim_files/2.png,./static/experiments/de2/materials/stim_files/10.png,,,,2091,,244,2
2393,14,1,./static/experiments/de2/materials/stim_files/5.png,./static/experiments/de2/materials/stim_files/13.png,,,,2012,,244,2
2394,15,1,./static/experiments/de2/materials/stim_files/10.png,./static/experiments/de2/materials/stim_files/2.png,,,,2373,,244,2
2395,0,0,./static/experiments/de2/materials/stim_files/6.png,./static/experiments/de2/materials/stim_files/6.png,,,,12,,51,4
2396,1,0,./static/experiments/de2/materials/stim_files/4.png,./static/experiments/de2/materials/stim_files/4.png,,,,7248,,51,4
2397,2,0,./static/experiments/de2/materials/stim_files/8.png,./static/experiments/de2/materials/stim_files/8.png,,,,2668,,51,4
2398,3,0,./static/experiments/de2/materials/stim_files/14.png,./static/experiments/de2/materials/stim_files/14.png,,,,3745,,51,4
2399,4,0,./static/experiments/de2/materials/stim_files/13.png,./static/experiments/de2/materials/stim_files/13.png,,,,2664,,51,4
2400,5,0,./static/experiments/de2/materials/stim_files/7.png,./static/experiments/de2/materials/stim_files/7.png,,,,2319,,51,4
2401,6,0,./static/experiments/de2/materials/stim_files/10.png,./static/experiments/de2/materials/stim_files/10.png,,,,2279,,51,4
2402,7,0,./static/experiments/de2/materials/stim_files/2.png,./static/experiments/de2/materials/stim_files/2.png,,,,3002,,51,4
2403,8,0,./static/experiments/de2/materials/stim_files/11.png,./static/experiments/de2/materials/stim_files/11.png,,,,2602,,51,4
2404,9,0,./static/experiments/de2/materials/stim_files/1.png,./static/experiments/de2/materials/stim_files/1.png,,,,2353,,51,4
2405,10,0,./static/experiments/de2/materials/stim_files/5.png,./static/experiments/de2/materials/stim_files/5.png,,,,2441,,51,4
2406,11,0,./static/experiments/de2/materials/stim_files/9.png,./static/experiments/de2/materials/stim_files/9.png,,,,2376,,51,4
2407,12,0,./static/experiments/de2/materials/stim_files/15.png,./static/experiments/de2/materials/stim_files/15.png,,,,2298,,51,4
2408,13,0,./static/experiments/de2/materials/stim_files/12.png,./static/experiments/de2/materials/stim_files/12.png,,,,2208,,51,4
2409,14,0,./static/experiments/de2/materials/stim_files/3.png,./static/experiments/de2/materials/stim_files/3.png,,,,2259,,51,4
2410,15,0,./static/experiments/de2/materials/stim_files/16.png,./static/experiments/de2/materials/stim_files/16.png,,,,2289,,51,4
2411,0,1,./static/experiments/de2/materials/stim_files/4.png,./static/experiments/de2/materials/stim_files/4.png,,,,2512,,51,4
2412,1,1,./static/experiments/de2/materials/stim_files/10.png,./static/experiments/de2/materials/stim_files/10.png,,,,2517,,51,4
2413,2,1,./static/experiments/de2/materials/stim_files/7.png,./static/experiments/de2/materials/stim_files/7.png,,,,2552,,51,4
2414,3,1,./static/experiments/de2/materials/stim_files/5.png,./static/experiments/de2/materials/stim_files/5.png,,,,2721,,51,4
2415,4,1,./static/experiments/de2/materials/stim_files/16.png,./static/experiments/de2/materials/stim_files/16.png,,,,3353,,51,4
2416,5,1,./static/experiments/de2/materials/stim_files/13.png,./static/experiments/de2/materials/stim_files/13.png,,,,2515,,51,4
2417,6,1,./static/experiments/de2/materials/stim_files/3.png,./static/experiments/de2/materials/stim_files/3.png,,,,2285,,51,4
2418,7,1,./static/experiments/de2/materials/stim_files/9.png,./static/experiments/de2/materials/stim_files/9.png,,,,2305,,51,4
2419,8,1,./static/experiments/de2/materials/stim_files/6.png,./static/experiments/de2/materials/stim_files/6.png,,,,2438,,51,4
2420,9,1,./static/experiments/de2/materials/stim_files/1.png,./static/experiments/de2/materials/stim_files/1.png,,,,2584,,51,4
2421,10,1,./static/experiments/de2/materials/stim_files/8.png,./static/experiments/de2/materials/stim_files/8.png,,,,2656,,51,4
2422,11,1,./static/experiments/de2/materials/stim_files/14.png,./static/experiments/de2/materials/stim_files/14.png,,,,2202,,51,4
2423,12,1,./static/experiments/de2/materials/stim_files/11.png,./static/experiments/de2/materials/stim_files/11.png,,,,2442,,51,4
2424,13,1,./static/experiments/de2/materials/stim_files/2.png,./static/experiments/de2/materials/stim_files/2.png,,,,2132,,51,4
2425,14,1,./static/experiments/de2/materials/stim_files/15.png,./static/experiments/de2/materials/stim_files/15.png,,,,2146,,51,4
2426,15,1,./static/experiments/de2/materials/stim_files/12.png,./static/experiments/de2/materials/stim_files/12.png,,,,2218,,51,4
2427,0,0,./static/experiments/de2/materials/stim_files/10.png,./static/experiments/de2/materials/stim_files/2.png,,,,14,,241,2
2428,1,0,./static/experiments/de2/materials/stim_files/5.png,./static/experiments/de2/materials/stim_files/13.png,,,,7154,,241,2
2429,2,0,./static/experiments/de2/materials/stim_files/12.png,./static/experiments/de2/materials/stim_files/4.png,,,,2527,,241,2
2430,3,0,./static/experiments/de2/materials/stim_files/1.png,./static/experiments/de2/materials/stim_files/9.png,,,,3015,,241,2
2431,4,0,./static/experiments/de2/materials/stim_files/3.png,./static/experiments/de2/materials/stim_files/11.png,,,,2400,,241,2
2432,5,0,./static/experiments/de2/materials/stim_files/4.png,./static/experiments/de2/materials/stim_files/12.png,,,,3206,,241,2
2433,6,0,./static/experiments/de2/materials/stim_files/6.png,./static/experiments/de2/materials/stim_files/14.png,,,,2236,,241,2
2434,7,0,./static/experiments/de2/materials/stim_files/7.png,./static/experiments/de2/materials/stim_files/15.png,,,,2451,,241,2
2435,8,0,./static/experiments/de2/materials/stim_files/10.png,./static/experiments/de2/materials/stim_files/2.png,,,,2212,,241,2
2436,9,0,./static/experiments/de2/materials/stim_files/8.png,./static/experiments/de2/materials/stim_files/16.png,,,,2308,,241,2
2437,10,0,./static/experiments/de2/materials/stim_files/1.png,./static/experiments/de2/materials/stim_files/9.png,,,,2308,,241,2
2438,11,0,./static/experiments/de2/materials/stim_files/14.png,./static/experiments/de2/materials/stim_files/6.png,,,,7427,,241,2
2439,12,0,./static/experiments/de2/materials/stim_files/13.png,./static/experiments/de2/materials/stim_files/5.png,,,,2863,,241,2
2440,13,0,./static/experiments/de2/materials/stim_files/8.png,./static/experiments/de2/materials/stim_files/16.png,,,,2238,,241,2
2441,14,0,./static/experiments/de2/materials/stim_files/3.png,./static/experiments/de2/materials/stim_files/11.png,,,,2123,,241,2
2442,15,0,./static/experiments/de2/materials/stim_files/15.png,./static/experiments/de2/materials/stim_files/7.png,,,,2054,,241,2
2443,0,1,./static/experiments/de2/materials/stim_files/2.png,./static/experiments/de2/materials/stim_files/10.png,,,,2093,,241,2
2444,1,1,./static/experiments/de2/materials/stim_files/15.png,./static/experiments/de2/materials/stim_files/7.png,,,,7152,,241,2
2445,2,1,./static/experiments/de2/materials/stim_files/11.png,./static/experiments/de2/materials/stim_files/3.png,,,,2105,,241,2
2446,3,1,./static/experiments/de2/materials/stim_files/16.png,./static/experiments/de2/materials/stim_files/8.png,,,,2252,,241,2
2447,4,1,./static/experiments/de2/materials/stim_files/12.png,./static/experiments/de2/materials/stim_files/4.png,,,,2404,,241,2
2448,5,1,./static/experiments/de2/materials/stim_files/4.png,./static/experiments/de2/materials/stim_files/12.png,,,,2087,,241,2
2449,6,1,./static/experiments/de2/materials/stim_files/13.png,./static/experiments/de2/materials/stim_files/5.png,,,,2083,,241,2
2450,7,1,./static/experiments/de2/materials/stim_files/2.png,./static/experiments/de2/materials/stim_files/10.png,,,,2611,,241,2
2451,8,1,./static/experiments/de2/materials/stim_files/6.png,./static/experiments/de2/materials/stim_files/14.png,,,,2234,,241,2
2452,9,1,./static/experiments/de2/materials/stim_files/6.png,./static/experiments/de2/materials/stim_files/14.png,,,,2232,,241,2
2453,10,1,./static/experiments/de2/materials/stim_files/8.png,./static/experiments/de2/materials/stim_files/16.png,,,,2067,,241,2
2454,11,1,./static/experiments/de2/materials/stim_files/9.png,./static/experiments/de2/materials/stim_files/1.png,,,,2011,,241,2
2455,12,1,./static/experiments/de2/materials/stim_files/15.png,./static/experiments/de2/materials/stim_files/7.png,,,,1866,,241,2
2456,13,1,./static/experiments/de2/materials/stim_files/3.png,./static/experiments/de2/materials/stim_files/11.png,,,,2014,,241,2
2457,14,1,./static/experiments/de2/materials/stim_files/9.png,./static/experiments/de2/materials/stim_files/1.png,,,,2028,,241,2
2458,15,1,./static/experiments/de2/materials/stim_files/5.png,./static/experiments/de2/materials/stim_files/13.png,,,,2009,,241,2
2459,0,0,./static/experiments/de2/materials/stim_files/9.png,./static/experiments/de2/materials/stim_files/8.png,0,yes,0,7798,0.0,134,1
2460,1,0,./static/experiments/de2/materials/stim_files/7.png,./static/experiments/de2/materials/stim_files/6.png,0,yes,0,3620,0.0,134,1
2461,2,0,./static/experiments/de2/materials/stim_files/9.png,./static/experiments/de2/materials/stim_files/10.png,0,no,1,3795,0.0,134,1
2462,3,0,./static/experiments/de2/materials/stim_files/16.png,./static/experiments/de2/materials/stim_files/8.png,1,yes,1,4703,0.0,134,1
2463,4,0,./static/experiments/de2/materials/stim_files/3.png,./static/experiments/de2/materials/stim_files/11.png,1,yes,1,2013,0.0,134,1
2464,5,0,./static/experiments/de2/materials/stim_files/7.png,./static/experiments/de2/materials/stim_files/8.png,0,no,1,2872,0.0,134,1
2465,6,0,./static/experiments/de2/materials/stim_files/2.png,./static/experiments/de2/materials/stim_files/3.png,0,no,1,2720,0.0,134,1
2466,7,0,./static/experiments/de2/materials/stim_files/11.png,./static/experiments/de2/materials/stim_files/3.png,1,yes,1,1730,0.0,134,1
2467,8,0,./static/experiments/de2/materials/stim_files/5.png,./static/experiments/de2/materials/stim_files/6.png,0,no,1,1337,0.0,134,1
